id,Author list,title,Year,m_control,n_control,sd_control,se_control,m_treatment,n_treatment,sd_treatment,se_treatment,m_Measure,m_raw,m_time,m_Location,Species,Treatment_Type,Treatment_Overall,Treatment_Name,Sex,Strain,Other Variables,notes,mice900_keep
212,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,874,95,,,1001,48,,,median,N,days,figure 2 ,mice,Rapamycin,Rapamycin,Rapamycin,female,mice produced by mating CB6F1 females with C3D2F1 male,None,TJL,Y
213,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,879,95,,,1025,48,,,median,N,days,figure 2 ,mice,Rapamycin,Rapamycin,Rapamycin,female,mice produced by mating CB6F1 females with C3D2F1 male,None,UM,Y
214,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,889,99,,,946,48,,,median,N,days,figure 2 ,mice,Rapamycin,Rapamycin,Rapamycin,female,mice produced by mating CB6F1 females with C3D2F1 male,None,UT,Y
215,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,787,126,,,787,57,,,median,N,days,figure 2 ,mice,Rapamycin,Rapamycin,Rapamycin,male,mice produced by mating CB6F1 females with C3D2F1 male,None,TJL,N
216,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,908,112,,,1043,51,,,median,N,days,figure 2 ,mice,Rapamycin,Rapamycin,Rapamycin,male,mice produced by mating CB6F1 females with C3D2F1 male,None,UM,Y
217,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,735,119,,,967,60,,,median,N,days,figure 2 ,mice,Rapamycin,Rapamycin,Rapamycin,male,mice produced by mating CB6F1 females with C3D2F1 male,None,UT,Y
218,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,803,357,,,959,168,,,median,N,days,figure 1,mice,Rapamycin,Rapamycin,Rapamycin,male,mice produced by mating CB6F1 females with C3D2F1 male,None,Pooled,Y
219,"Harrison, D. E. and Strong, R. and Sharp, Z. D. and Nelson, J. F. and Astle, C. M. and Flurkey, K. and Nadon, N. L. and Wilkinson, J. E. and Frenkel, K. and Carter, C. S. and Pahor, M. and Javors, M. A. and Fernandez, E. and Miller, R. A.",Rapamycin fed late in life extends lifespan in genetically heterogeneous mice,2009,886,289,,,1000,144,,,median,N,days,figure 1,mice,Rapamycin,Rapamycin,Rapamycin,female,mice produced by mating CB6F1 females with C3D2F1 male,None,Pooled,Y
220,"Hasty, P. and Livi, C. B. and Dodds, S. G. and Jones, D. and Strong, R. and Javors, M. and Fischer, K. E. and Sloane, L. and Murthy, K. and Hubbard, G. and Sun, L. and Hurez, V. and Curiel, T. J. and Sharp, Z. D.",eRapa restores a normal life span in a FAP mouse model,2014,174,5,,,668,5,,,median,N,days,p173,mice,Rapamycin,Rapamycin,14ppm,female,ApcMin/þ mice,Intestinal neoplasia,,N
221,"Hasty, P. and Livi, C. B. and Dodds, S. G. and Jones, D. and Strong, R. and Javors, M. and Fischer, K. E. and Sloane, L. and Murthy, K. and Hubbard, G. and Sun, L. and Hurez, V. and Curiel, T. J. and Sharp, Z. D.",eRapa restores a normal life span in a FAP mouse model,2014,174,5,,,937,5,,,median,N,days,p173,mice,Rapamycin,Rapamycin,42ppm,female,ApcMin/þ mice,Intestinal neoplasia,,N
222,"Herranz, D. and Iglesias, G. and Munoz-Martin, M. and Serrano, M.",Limited role of Sirt1 in cancer protection by dietary restriction,2011,14.7561,23,,,20.12195,9,,,median,N,months,fig1,mice,Fasted,Dietary restriction,EOD p53-het/Sirt1-tg,mixed,p53-het/Sirt1-tg,Ovrexpression Sirt1,,N
223,"Herranz, D. and Iglesias, G. and Munoz-Martin, M. and Serrano, M.",Limited role of Sirt1 in cancer protection by dietary restriction,2011,17.01219,26,,,19.57317,17,,,median,N,months,fig1,mice,Fasted,Dietary restriction,EOD p53-het/Sirt1-tg,mixed,p53-het,p53 deficient,,N
224,Horakova,The effect of low protein-high dextrin diet and subsequent food restriction upon life prolongation in Fischer 344 male rats,1988,715,60,,,1092,60,,,median,N,days,table 3,rats,Percent Reduction,Dietary restriction,No.2,male,Fischer 344 rats,None,Only comparing to No.2. The others have different diet to Control,NA
225,"Huang, T. Q. and Zou, M. X. and Pasek, D. A. and Meissner, G.",mTOR signaling in mice with dysfunctional cardiac ryanodine receptor ion channel,2015,13.5,12,,,13.9,10,,,mean,N,days,p47,mice,Rapamycin,Rapamycin,Rapamycin,mixed,Ryr2ADA/ADA mice,None,cant use error as not sure if SD or SE,N
226,"Hurez, V. and Dao, V. and Liu, A. and Pandeswara, S. and Gelfond, J. and Sun, L. and Bergman, M. and Orihuela, C. J. and Galvan, V. and Padron, A. and Drerup, J. and Liu, Y. and Hasty, P. and Sharp, Z. D. and Curiel, T. J.","Chronic mTOR inhibition in mice with rapamycin alters T, B, myeloid, and innate lymphoid cells and gut flora and prolongs life of immune-deficient mice",2015,310,9,,,685,10,,,median,N,days,figure 5,mice,Rapamycin,Rapamycin,RAPA,mixed,RAG2 KO,Cancerprone mice,,N
227,"Hurez, V. and Dao, V. and Liu, A. and Pandeswara, S. and Gelfond, J. and Sun, L. and Bergman, M. and Orihuela, C. J. and Galvan, V. and Padron, A. and Drerup, J. and Liu, Y. and Hasty, P. and Sharp, Z. D. and Curiel, T. J.","Chronic mTOR inhibition in mice with rapamycin alters T, B, myeloid, and innate lymphoid cells and gut flora and prolongs life of immune-deficient mice",2015,398,8,,,532,10,,,median,N,days,figure 5,mice,Rapamycin,Rapamycin,RAPA,mixed,IFN-c KO,Cancerprone mice,,N
228,"Hursting, Stephen D; Perkins, Susan N; Brown, Charles C; Haines, Diana C; Phane, James M",Calorie Restriction Induces a p53-independent Delay of Spontaneous Carcinogenesis,1997,104,30,,,169,28,,,mean,N,days,"means below results, ss in table 1",mice,Percent Reduction,Dietary restriction,p53 -/- CR,male,p53-/-,mTORC1-KO,,N
229,"Hursting, Stephen D; Perkins, Susan N; Brown, Charles C; Haines, Diana C; Phane, James M",Calorie Restriction Induces a p53-independent Delay of Spontaneous Carcinogenesis,1997,407,30,,,648,30,,,mean,N,days,"means below results, ss in table 1",mice,Percent Reduction,Dietary restriction,p53 +/+ CR,male,p53+/+ (94% C57BL16 and 6% l29/S),mTORC1-KO,,N
230,"Hursting, Stephen D; Perkins, Susan N; Brown, Charles C; Haines, Diana C; Phane, James M",Calorie Restriction Induces a p53-independent Delay of Spontaneous Carcinogenesis,1997,16,30,,,27,28,,,median,N,weeks,figure 2 ,mice,Percent Reduction,Dietary restriction,[53 -/- CR,male,p53-/-,mTORC1-KO,,N
231,"Hursting, Stephen D; Perkins, Susan N; Brown, Charles C; Haines, Diana C; Phane, James M",Calorie Restriction Induces a p53-independent Delay of Spontaneous Carcinogenesis,1997,70,30,,,99,30,,,median,N,weeks,figure 2 ,mice,Percent Reduction,Dietary restriction,p53 +/+ CR,male,p53+/+ (94% C57BL16 and 6% l29/S),mTORC1-KO,,N
232,"Ikeno, Y. and Hubbard, G. B. and Lee, S. and Richardson, A. and Strong, R. and Diaz, V. and Nelson, J. F.",Housing density does not influence the longevity effect of calorie restriction,2005,925,28,,,1080,28,,,median,N,days,table 2,mice,Percent Reduction,Dietary restriction,CRS,male,C57BL/6J mice,Single,housed singly,Y
233,"Ikeno, Y. and Hubbard, G. B. and Lee, S. and Richardson, A. and Strong, R. and Diaz, V. and Nelson, J. F.",Housing density does not influence the longevity effect of calorie restriction,2005,935,30,,,1133,32,,,median,N,days,table 2,mice,Percent Reduction,Dietary restriction,CRM,male,C57BL/6J mice,4 per cage,housed 4 per cage,Y
234,"Inness, C. L. and Metcalfe, N. B.","The impact of dietary restriction, intermittent feeding and compensatory growth on reproductive investment and lifespan in a short-lived fish",2008,740,32,,,746,40,,,median,N,days,results lifespan section,stickleback,Percent Reduction,Dietary restriction,DR,mixed,no strain,None,,NA
235,"Inness, C. L. and Metcalfe, N. B.","The impact of dietary restriction, intermittent feeding and compensatory growth on reproductive investment and lifespan in a short-lived fish",2008,740,32,,,582,44,,,median,N,days,results lifespan section,stickleback,Fasted,Dietary restriction,IF,mixed,no strain,None,,NA
236,"Jolly, Christopher A.; Muthukumar, Alagarraju; Avula, C. P. Reddy; Fernandes, Gabriel; Troyer, Dean",Life Span Is Prolonged in Food-Restricted Autoimmune-Prone (NZB × NZW)F(1) Mice Fed a Diet Enriched with (n-3) Fatty Acids,2001,242,30,,,491,30,,,median,N,days, fig1,mice,Percent Reduction,Dietary restriction,CO/FR,female,B/W mice,Added Oils,,N
237,"Jolly, Christopher A.; Muthukumar, Alagarraju; Avula, C. P. Reddy; Fernandes, Gabriel; Troyer, Dean",Life Span Is Prolonged in Food-Restricted Autoimmune-Prone (NZB × NZW)F(1) Mice Fed a Diet Enriched with (n-3) Fatty Acids,2001,345,30,,,645,30,,,median,N,days, fig1,mice,Percent Reduction,Dietary restriction,FO/FR,female,B/W mice,Added Oils,,N
238,"Kawai, M. and Kinoshita, S. and Ozono, K. and Michigami, T.",Inorganic Phosphate Activates the AKT/mTORC1 Pathway and Shortens the Life Span of an alphaâ€‘Klotho-Deficient Model,2016,79.47019,15,,,130.1324,19,,,median,N,days,fig4,mice,Rapamycin,Rapamycin,Kl-/-Rapa,mixed,Kl-/-,hyperphosphatemic a‑Klotho–deficient ,,N
239,"Kealy, R. D. and Lawler, D. F. and Ballam, J. M. and Mantz, S. L. and Biery, D. N. and Greeley, E. H. and Lust, G. and Segre, M. and Smith, G. K. and Stowe, H. D.",Effects of diet restriction on life span and age-related changes in dogs,2002,11.2,24,,,13,24,,,median,N,years,p1316,dogs,Percent Reduction,Dietary restriction,Restircted feeding,mixed,Labrador Retrievers,None,,NA
240,"Kendrick, D. C.",The effects of infantile stimulation and intermittent fasting and feeding on life span in the black-hooded rat,1973,770.39,36,,,904.72,36,,,mean,N,days,P227 + table 2 sample,rats,Fasted,Dietary restriction,Fasted,mixed,black-hooded rats (FVG/h),handled during infant stage,,NA
241,Khapre,BMAL1-dependent regulation of the mTOR signaling pathway delays aging,2014,7.8,73,,,11.5,31,,,median,N,months,p53,mice,Rapamycin,Rapamycin,Rapatar,mixed,Bmal1-/- mice,Core clock protein deficient ,,N
242,kibler,Temperature and longevity in male rats,1966,601.0989,40,,,759.3407,20,,,median,N,days,fig1,rats,Percent Reduction,Dietary restriction,Group C,male,Albino rats of the Holtzman strain,None,,NA
243,"Kohno, A. and Yonezu, T. and Matsushita, M. and Irino, M. and Higuchi, K. and Higuchi, K. and Takeshita, S. and Hosokawa, M. and Takeda, T.",Chronic food restriction modulates the advance of senescence in the senescence accelerated mouse (SAM),1985,332.8,19,73.22950225,16.8,342.8,19,106.7930241,24.5,mean,N,days,table 4,mice,Percent Reduction,Dietary restriction,Sam-P/1 80%,mixed,SAM-P1,Seenscence Prone,,N
244,"Kohno, A. and Yonezu, T. and Matsushita, M. and Irino, M. and Higuchi, K. and Higuchi, K. and Takeshita, S. and Hosokawa, M. and Takeda, T.",Chronic food restriction modulates the advance of senescence in the senescence accelerated mouse (SAM),1985,332.8,19,73.22950225,16.8,414.8,13,183.5225599,50.9,mean,N,days,table 4,mice,Percent Reduction,Dietary restriction,Sam-P/1 60%,mixed,SAM-P1,Seenscence Prone,,N
245,"Kohno, A. and Yonezu, T. and Matsushita, M. and Irino, M. and Higuchi, K. and Higuchi, K. and Takeshita, S. and Hosokawa, M. and Takeda, T.",Chronic food restriction modulates the advance of senescence in the senescence accelerated mouse (SAM),1985,444.4,20,145.3444185,32.5,473.9,18,138.7343505,32.7,mean,N,days,table 4,mice,Percent Reduction,Dietary restriction,Sam-R1 80%,mixed,SAM-R1,Senescence-Resistant,,N
246,"Kohno, A. and Yonezu, T. and Matsushita, M. and Irino, M. and Higuchi, K. and Higuchi, K. and Takeshita, S. and Hosokawa, M. and Takeda, T.",Chronic food restriction modulates the advance of senescence in the senescence accelerated mouse (SAM),1985,444.4,20,145.3444185,32.5,413.9,17,150.4933553,36.5,mean,N,days,table 4,mice,Percent Reduction,Dietary restriction,Sam-R1 60%,mixed,SAM-R1,Senescence-Resistant,,N
247,"Koizumi, A. and Tsukada, M. and Wada, Y. and Masuda, H. and Weindruch, R.",Mitotic activity in mice is suppressed by energy restriction-induced torpor,1992,1.89,38,,,2.8,32,,,median,N,years,table 1,mice,Percent Reduction,Dietary restriction,ER,male,B6,None,omitted females as 50% is greater than value ,Y
248,"Komarova, E. A. and Antoch, M. P. and Novototskaya, L. R. and Chernova, O. B. and Paszkiewicz, G. and Leontieva, O. V. and Blagosklonny, M. V. and Gudkov, A. V.",Rapamycin extends lifespan and delays tumorigenesis in heterozygous p53+/- mice,2012,373,38,,,410,37,,,mean,N,days,results section,mice,Rapamycin,Rapamycin,Rapamycin,male,p53+/- mice,mTORC1-KO,Can't use the graph as no sample sizes. ,N
249,"Komarova, E. A. and Antoch, M. P. and Novototskaya, L. R. and Chernova, O. B. and Paszkiewicz, G. and Leontieva, O. V. and Blagosklonny, M. V. and Gudkov, A. V.",Rapamycin extends lifespan and delays tumorigenesis in heterozygous p53+/- mice,2012,372,38,,,400,37,,,median,N,days,Figure 1A,mice,Rapamycin,Rapamycin,Rapamycin,male,p53+/- mice,mTORC1-KO,Can't use the graph as no sample sizes. ,N
250,"Koopman, J. J. and van Heemst, D. and van Bodegom, D. and Bonkowski, M. S. and Sun, L. Y. and Bartke, A.",Measuring aging rates of mice subjected to caloric restriction and genetic disruption of growth hormone signaling,2016,634,108,,,794,105,,,median,N,days,table 1,mice,Percent Reduction,Dietary restriction,Population B - CR ,mixed,WT,Disruption of Growth Hormone,Population B,N
251,"Koopman, J. J. and van Heemst, D. and van Bodegom, D. and Bonkowski, M. S. and Sun, L. Y. and Bartke, A.",Measuring aging rates of mice subjected to caloric restriction and genetic disruption of growth hormone signaling,2016,903,41,,,1127,43,,,median,N,days,table 1,mice,Percent Reduction,Dietary restriction,Population A - CR ,mixed,WT,Disruption of Growth Hormone,Population A,Y
252,"Koopman, J. J. and van Heemst, D. and van Bodegom, D. and Bonkowski, M. S. and Sun, L. Y. and Bartke, A.",Measuring aging rates of mice subjected to caloric restriction and genetic disruption of growth hormone signaling,2016,931,97,,,1056,102,,,median,N,days,table 1,mice,Percent Reduction,Dietary restriction,Population B - CR  - GH,mixed,Ghrh KO,Disruption of Growth Hormone,Population B,Y
253,"Koopman, J. J. and van Heemst, D. and van Bodegom, D. and Bonkowski, M. S. and Sun, L. Y. and Bartke, A.",Measuring aging rates of mice subjected to caloric restriction and genetic disruption of growth hormone signaling,2016,1181,38,,,1188,39,,,median,N,days,table 1,mice,Percent Reduction,Dietary restriction,Population A - CR  - GH,mixed,Ghrh KO,Disruption of Growth Hormone,Population A,Y
254,"Lawler, D. F. and Evans, R. H. and Larson, B. T. and Spitznagel, E. L. and Ellersieck, M. R. and Kealy, R. D.","Influence of lifetime food restriction on causes, time, and predictors of death in dogs",2005,11.14,9,1.36,0.453333333,12.92,9,1.11,0.37,mean,Y,years,Table2,dogs,Percent Reduction,Dietary restriction,restricted-fed,male,Labrador Retrievers,None,,NA
255,"Lawler, D. F. and Evans, R. H. and Larson, B. T. and Spitznagel, E. L. and Ellersieck, M. R. and Kealy, R. D.","Influence of lifetime food restriction on causes, time, and predictors of death in dogs",2005,10.55,15,2.62,0.676481091,11.48,15,3.03,0.782342636,mean,Y,years,Table2,dogs,Percent Reduction,Dietary restriction,restricted-fed,female,Labrador Retrievers,None,,NA
256,"Lawler, D. F. and Evans, R. H. and Larson, B. T. and Spitznagel, E. L. and Ellersieck, M. R. and Kealy, R. D.","Influence of lifetime food restriction on causes, time, and predictors of death in dogs",2005,11.2,24,,,13,24,,,median,Y,years,below results,dogs,Percent Reduction,Dietary restriction,restricted-fed,mixed,Labrador Retrievers,None,,NA
257,"Lawler, D. F. and Evans, R. H. and Larson, B. T. and Spitznagel, E. L. and Ellersieck, M. R. and Kealy, R. D.","Influence of lifetime food restriction on causes, time, and predictors of death in dogs",2005,11.18,9,,,13.31,9,,,median,Y,years,Table2,dogs,Percent Reduction,Dietary restriction,restricted-fed,male,Labrador Retrievers,None,,NA
258,"Lawler, D. F. and Evans, R. H. and Larson, B. T. and Spitznagel, E. L. and Ellersieck, M. R. and Kealy, R. D.","Influence of lifetime food restriction on causes, time, and predictors of death in dogs",2005,10.51,15,,,12.9,15,,,median,Y,years,Table2,dogs,Percent Reduction,Dietary restriction,restricted-fed,female,Labrador Retrievers,None,,NA
259,"Lee, C. K. and Pugh, T. D. and Klopp, R. G. and Edwards, J. and Allison, D. B. and Weindruch, R. and Prolla, T. A.","The impact of alpha-lipoic acid, coenzyme Q10 and caloric restriction on life span and gene expression patterns in mice",2004,33.07393,60,,,38.21011,60,,,median,N,months,fig1,mice,Percent Reduction,Dietary restriction,CR,male,C57BL/6  C3H (B6C3F1),None,,Y
260,Leveille,"The long-term effects of meal-eating on lipogenesis, enzyme activity, and longevity in the rat.",1972,587,60,,,688,60,,,mean,N,days,abstract,rats,Fasted,Dietary restriction,Meal-fed,male,Sprague-Dawley strain,None,"cant use error as not sure if SD or SE, non survivla curve",NA
261,Leveille,"The long-term effects of meal-eating on lipogenesis, enzyme activity, and longevity in the rat.",1972,16.6,60,,,20.8,60,,,median,N,months,Fig 2,rats,Fasted,Dietary restriction,Meal-fed,male,Sprague-Dawley strain,None,cumulative mortality,NA
262,"Li, A. and Fan, S. and Xu, Y. and Meng, J. and Shen, X. and Mao, J. and Zhang, L. and Zhang, X. and Moeckel, G. and Wu, D. and Wu, G. and Liang, C.",Rapamycin treatment dose-dependently improves the cystic kidney in a new ADPKD mouse model via the mTORC1 and cell-cycle-associated CDK1/cyclin axis,2017,4.5,12,,,6.5,12,,,median,N,months,fig3a,mice,Rapamycin,Rapamycin,Rapamycin,mixed,Vil-Cre;Pkd2f3/f3 mice,Different timings,protocol 1,N
263,"Li, A. and Fan, S. and Xu, Y. and Meng, J. and Shen, X. and Mao, J. and Zhang, L. and Zhang, X. and Moeckel, G. and Wu, D. and Wu, G. and Liang, C.",Rapamycin treatment dose-dependently improves the cystic kidney in a new ADPKD mouse model via the mTORC1 and cell-cycle-associated CDK1/cyclin axis,2017,4.5,12,,,8,12,,,median,N,months,fig4b,mice,Rapamycin,Rapamycin,Rapamycin,mixed,Vil-Cre;Pkd2f3/f3 mice,Different timings,protocol 2,N
264,"Li, A. and Fan, S. and Xu, Y. and Meng, J. and Shen, X. and Mao, J. and Zhang, L. and Zhang, X. and Moeckel, G. and Wu, D. and Wu, G. and Liang, C.",Rapamycin treatment dose-dependently improves the cystic kidney in a new ADPKD mouse model via the mTORC1 and cell-cycle-associated CDK1/cyclin axis,2017,4.5,12,,,7.8,12,,,median,N,months,fig4c,mice,Rapamycin,Rapamycin,Rapamycin,mixed,Vil-Cre;Pkd2f3/f3 mice,Different timings,protocol 3,N
265,"Li, A. and Fan, S. and Xu, Y. and Meng, J. and Shen, X. and Mao, J. and Zhang, L. and Zhang, X. and Moeckel, G. and Wu, D. and Wu, G. and Liang, C.",Rapamycin treatment dose-dependently improves the cystic kidney in a new ADPKD mouse model via the mTORC1 and cell-cycle-associated CDK1/cyclin axis,2017,4.5,12,,,7,12,,,median,N,months,fig4d,mice,Rapamycin,Rapamycin,Rapamycin,mixed,Vil-Cre;Pkd2f3/f3 mice,Different timings,protocol 4,N
266,"Li, Y. and Xu, W. and McBurney, M. W. and Longo, V. D.",SirT1 inhibition reduces IGF-I/IRS-2/Ras/ERK1/2 signaling and protects neurons,2008,62.04,14,,,73.93,12,,,median,N,weeks,Fig6,mice,Percent Reduction,Dietary restriction,Sirt -/-,mixed,SirT1-/- Mice,SirtT1-defiicent,cant do others as only sirt-/- has over 50%,N
267,"Liang, Y. and Gao, Y. and Hua, R. and Lu, M. and Chen, H. and Wang, Z. and Li, L. and Hu, K. and Yin, Y. and Xu, K. and Gao, H. and Liu, Q. and Qiu, Y. and Wang, Z.",Calorie intake rather than food quantity consumed is the key factor for the anti-aging effect of calorie restriction,2021,94.2857,30,,,121.4286,30,,,median,N,weeks,figure 1,mice,Percent Reduction,Dietary restriction,NF + LF,male,C57BL/6N,None,"only LF is reduction, NF is reduced caolries",N
268,"Liao, C. Y. and Anderson, S. S. and Chicoine, N. H. and Mayfield, J. R. and Academia, E. C. and Wilson, J. A. and Pongkietisak, C. and Thompson, M. A. and Lagmay, E. P. and Miller, D. M. and Hsu, Y. M. and McCormick, M. A. and O'Leary, M. N. and Kennedy, B. K.",Rapamycin Reverses Metabolic Deficits in Lamin A/C-Deficient Mice,2016,54,32,,,98,37,,,median,N,days,fig1,mice,Rapamycin,Rapamycin,Rapamycin,mixed,Lmna-/- mice,Mscular distrophy,,N
269,"Liao, C. Y. and Anderson, S. S. and Chicoine, N. H. and Mayfield, J. R. and Academia, E. C. and Wilson, J. A. and Pongkietisak, C. and Thompson, M. A. and Lagmay, E. P. and Miller, D. M. and Hsu, Y. M. and McCormick, M. A. and O'Leary, M. N. and Kennedy, B. K.",Rapamycin Reverses Metabolic Deficits in Lamin A/C-Deficient Mice,2016,52,20,,,96,22,,,median,N,days,S1a,mice,Rapamycin,Rapamycin,Rapamycin,male,Lmna-/- mice,Mscular distrophy,,N
270,"Liao, C. Y. and Anderson, S. S. and Chicoine, N. H. and Mayfield, J. R. and Academia, E. C. and Wilson, J. A. and Pongkietisak, C. and Thompson, M. A. and Lagmay, E. P. and Miller, D. M. and Hsu, Y. M. and McCormick, M. A. and O'Leary, M. N. and Kennedy, B. K.",Rapamycin Reverses Metabolic Deficits in Lamin A/C-Deficient Mice,2016,59,12,,,100,15,,,median,N,days,S1d,mice,Rapamycin,Rapamycin,Rapamycin,female,Lmna-/- mice,Mscular distrophy,,N
271,"Liao, C. Y. and Anderson, S. S. and Chicoine, N. H. and Mayfield, J. R. and Academia, E. C. and Wilson, J. A. and Pongkietisak, C. and Thompson, M. A. and Lagmay, E. P. and Miller, D. M. and Hsu, Y. M. and McCormick, M. A. and O'Leary, M. N. and Kennedy, B. K.",Rapamycin Reverses Metabolic Deficits in Lamin A/C-Deficient Mice,2016,310,11,,,302,12,,,median,N,days,S5a,mice,Rapamycin,Rapamycin,Rapamycin,mixed,Lmnah22p,Mscular distrophy,,N
272,"Liao, C. Y. and Rikke, B. A. and Johnson, T. E. and Diaz, V. and Nelson, J. F.",Genetic variation in the murine lifespan response to dietary restriction: from life extension to life shortening,2010,552,5,436.0332556,195,624,5,292.9249051,131,mean,Y,days,supp_table1,mice,Percent Reduction,Dietary restriction,3,male,3,None,,N
273,"Liao, C. Y. and Rikke, B. A. and Johnson, T. E. and Diaz, V. and Nelson, J. F.",Genetic variation in the murine lifespan response to dietary restriction: from life extension to life shortening,2010,1047,5,58.13776741,26,704,5,541.1284506,242,mean,Y,days,supp_table1,mice,Percent Reduction,Dietary restriction,7,male,7,None,,Y
274,"Liao, C. Y. and Rikke, B. A. and Johnson, T. E. and Diaz, V. and Nelson, J. F.",Genetic variation in the murine lifespan response to dietary restriction: from life extension to life shortening,2010,782,5,129.6919427,58,933,5,51.42956348,23,mean,Y,days,supp_table1,mice,Percent Reduction,Dietary restriction,13,male,13,None,,N
275,"Liao, C. Y. and Rikke, B. A. and Johnson, T. E. and Diaz, V. and Nelson, J. F.",Genetic variation in the murine lifespan response to dietary restriction: from life extension to life shortening,2010,865,5,174.4133022,78,1035,5,69.3181073,31,mean,Y,days,supp_table1,mice,Percent Reduction,Dietary restriction,14,male,14,None,,Y
276,"Liao, C. Y. and Rikke, B. A. and Johnson, T. E. and Diaz, V. and Nelson, J. F.",Genetic variation in the murine lifespan response to dietary restriction: from life extension to life shortening,2010,640,6,296.3882589,121,402,4,250,125,mean,Y,days,supp_table1,mice,Percent Reduction,Dietary restriction,16,male,16,None,,N
277,"Liao, C. Y. and Rikke, B. A. and Johnson, T. E. and Diaz, V. and Nelson, J. F.",Genetic variation in the murine lifespan response to dietary restriction: from life extension to life shortening,2010,936,5,118.5116028,53,462,4,108,54,mean,Y,days,supp_table1,mice,Percent Reduction,Dietary restriction,19,male,19,None,,Y
278,"Liao, C. Y. and Rikke, B. A. and Johnson, T. E. and Diaz, V. and Nelson, J. F.",Genetic variation in the murine lifespan response to dietary restriction: from life extension to life shortening,2010,1152,5,67.08203932,30,1003,4,80,40,mean,Y,days,supp_table1,mice,Percent Reduction,Dietary restriction,22,male,22,None,,Y
279,"Liao, C. Y. and Rikke, B. A. and Johnson, T. E. and Diaz, V. and Nelson, J. F.",Genetic variation in the murine lifespan response to dietary restriction: from life extension to life shortening,2010,896,11,378.0952261,114,899,9,246,82,mean,Y,days,supp_table1,mice,Percent Reduction,Dietary restriction,23,male,23,None,,Y
280,"Liao, C. Y. and Rikke, B. A. and Johnson, T. E. and Diaz, V. and Nelson, J. F.",Genetic variation in the murine lifespan response to dietary restriction: from life extension to life shortening,2010,789,5,160.9968944,72,525,5,391.3118961,175,mean,Y,days,supp_table1,mice,Percent Reduction,Dietary restriction,24,male,24,None,,N
281,"Liao, C. Y. and Rikke, B. A. and Johnson, T. E. and Diaz, V. and Nelson, J. F.",Genetic variation in the murine lifespan response to dietary restriction: from life extension to life shortening,2010,904,5,203.482186,91,1035,5,76.02631123,34,mean,Y,days,supp_table1,mice,Percent Reduction,Dietary restriction,25,male,25,None,,Y
282,"Liao, C. Y. and Rikke, B. A. and Johnson, T. E. and Diaz, V. and Nelson, J. F.",Genetic variation in the murine lifespan response to dietary restriction: from life extension to life shortening,2010,1019,5,69.3181073,31,910,5,69.3181073,31,mean,Y,days,supp_table1,mice,Percent Reduction,Dietary restriction,26,male,26,None,,Y
283,"Liao, C. Y. and Rikke, B. A. and Johnson, T. E. and Diaz, V. and Nelson, J. F.",Genetic variation in the murine lifespan response to dietary restriction: from life extension to life shortening,2010,792,5,35.77708764,16,643,5,82.73451517,37,mean,Y,days,supp_table1,mice,Percent Reduction,Dietary restriction,41,male,41,None,,N
